,reviews,ratings,days,sellers,맛 만족도,포장,재구매의사
0,맛있어요 맛있어요 맛있어요 맛있어요 맛있어요 맛있어요 맛있어요,5,2024.03.01,롯데마트 이천점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
1,맛있는 김치 잘 먹었습니다 ,5,2024.02.13,롯데마트 송도점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
2,"잘 먹을께요 감사합니다
만족해요 계속 사는중이요",5,2024.01.27,롯데마트 이천점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
3,맛있어요 맛있어요 맛있어요 맛있어요 맛있어요 맛있어요,5,2024.01.25,롯데마트 이천점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
4,좋은제품 싸게 구입 하였습니다 굿굿굿,3,2024.01.22,롯데마트 영종도점,“평범해요”,“보통이에요”,“보통이에요”
5,맛있어요 맛있어요 맛있어요 맛있어요 맛있어요,5,2024.01.18,롯데마트 이천점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
6,비비고 김치가 가장 신선하고 맛있어요.,5,2024.01.08,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
7,김치가 너무 맛있어용 ,5,2024.01.04,롯데마트 송도점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
8,자취하는데 잘 사먹고 있어요 시원하고 맛있어요,5,2023.12.31,롯데마트 양덕점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
9,좋은 제품으로 행복한 하루입니다. 배송도 정확히 도착했어요,5,2023.12.25,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
10,무난하게 맛있어요~ 썰은 김치라서 편하기도 하고요.,5,2023.12.11,롯데마트 수원점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
11,항상 구매하는 제품이에요 맛있어요,5,2023.12.09,롯데마트 부산점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
12,비비고가 맛있어요. 안익은게 오길 바랬지만..,5,2023.12.09,롯데마트 의왕점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
13,너무 쉬어왔어요 김치찌개용 입니다,3,2023.12.02,롯데마트 금천점,“평범해요”,“보통이에요”,“보통이에요”
14,비비고김치 항상 너무 신거배달 되는데 이유가 뭐죠?,2,2023.11.30,롯데마트 동래점,“평범해요”,“보통이에요”,“보통이에요”
15,"맛이 제대로안들었어요
쓴맛도 느껴집니다",5,2023.11.26,롯데마트 남악점,“평범해요”,“꼼꼼해요”,“보통이에요”
16,많이 익은 게 왔어요 낫배드,5,2023.11.20,롯데마트 오산점,“맛있어요”,“보통이에요”,“재구매의사 있어요”
17,맛있어요 시원한맛이예요,5,2023.11.19,롯데마트 장유점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
18,좋아요 좋아 이비비고는 사랑입니다,5,2023.11.19,롯데마트 전용센터,“평범해요”,“보통이에요”,“보통이에요”
19,배송빠르고포장도잘되어있습니다,5,2023.11.18,롯데마트 부평점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
20,맛있어요~ 아삭하니 굿입니다,5,2023.11.18,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
21,김치가 시원하고 아주 맛있어요,5,2023.11.16,롯데마트 사하점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
22,잘받았어요 잘먹을게요 ~~~~,5,2023.11.13,롯데마트 군산점,“맛있어요”,“보통이에요”,“재구매의사 있어요”
23,잘받았습니다~~~~~~,5,2023.11.10,롯데마트 성정점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
24,익어서 와서 좀 실망...,3,2023.11.09,롯데마트 수완점,“평범해요”,“보통이에요”,“재구매의사 없어요”
25,집에서 자주 먹어야되는데..냉장고에서 익어버렸네요 ㅎㅎ 맛은 좋아요,5,2023.11.01,롯데마트 진해점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
26,비비고재품은 다맛있는것 같어요,5,2023.10.27,롯데마트 거제점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
27,맛있는데 시었어요 맛있는데 시었네요,5,2023.10.24,롯데마트 이천점,“맛있어요”,“꼼꼼해요”,“보통이에요”
28,맛있어요 맛있어요 맛있어요,5,2023.10.24,롯데마트 이천점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
29,매우 좋습니다 추천합니다,5,2023.10.19,롯데마트 청량리점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
30,김치맛이 시원하고 맛있어요.,5,2023.10.12,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
31,익어야 맛있는김치ㅋㅋㅋ,5,2023.10.07,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
32,자주 구매한 제품입니다,4,2023.10.05,롯데마트 전용센터,“평범해요”,“보통이에요”,“보통이에요”
33,"김장을 안하고 사서 먹는데 풀무원김지를 자주 먹었는데, 이김지가 훨씬 맛있어요.",5,2023.10.04,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
34,비비고 김치 맛있죠.,5,2023.09.28,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
35,원뿔원이라 잘 샀어요. 맛있어요.,5,2023.09.26,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
36,명절 앞두고 구매했어요^^,4,2023.09.23,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
37,아삭아삭 식감이 뛰어납니다,5,2023.09.23,롯데마트 제타플렉스 잠실점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
38,맛있어요 늘 구매하는 제품입니다,5,2023.09.23,롯데마트 동래점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
39,삼겹살이랑 구워서 맛나게 잘 먹고 있어요.,5,2023.09.19,롯데마트 장유점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
40,"김치가 개운한맛이없고 물탄듯 밍밍해요
두번은 안사먹을듯하네요",2,2023.09.16,롯데마트 양덕점,“별로에요”,“보통이에요”,“재구매의사 없어요”
41,원플러스원 정말 좋아요,5,2023.09.13,롯데마트 제주점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
42,양이너무적어요ㅠ양많은거사야지,3,2023.09.11,롯데마트 강변점,“맛있어요”,“꼼꼼해요”,“재구매의사 없어요”
43,잘받았습니다~~~~~~,5,2023.09.10,롯데마트 성정점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
44,"김치찌개용으로 구입했어요
1+1 아니었으면 굉장히 비싼 제품이에요
처음 구입하면서 걱정했는데 나름 맛은 괜찮아요
양념에 무도 들어있어서
김치찌개가 더 깊은 맛이 나네요",4,2023.09.10,롯데마트 수완점,“평범해요”,“꼼꼼해요”,“보통이에요”
45,처음 구매해보았는데 맛이 괜찮네요.,5,2023.09.08,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
46,"김치가 완전히 물러서 못먹겠어요.
이런적이 없는데 포장을 뜯어서 반품도 못하고 다버려야 겠네요. 앞으로 재구매는 없을듯. 그리고 이런 제품 행사하지 마세요. 저렴하고 항상 구매했던제품이라서 정말 실망했네요.",1,2023.09.08,롯데마트 삼양점,“별로에요”,“꼼꼼해요”,“재구매의사 없어요”
47,배송 터져서왔는데 봉투 집입구 난리났는데 봉투에담아서 담날 맞교환요구,1,2023.09.06,롯데마트 전용센터,“별로에요”,“별로예요”,“재구매의사 없어요”
48,"바로 냉장고에 넣고 조금씩 꺼내 먹는데
이틀 지나고나서 3일째 꺼내먹을때 부터
상태가 좋지안네요
다 물러져서 흐물거리고 다른것 삿다고
잔소리듣고 미치겠네요 ㅠㅠㅠ",1,2023.09.02,롯데마트 중계점,“별로에요”,“보통이에요”,“재구매의사 없어요”
49,잘먹고 있슴당~~!!,5,2023.09.02,롯데마트 의왕점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
50,너무 많이 실망 입니다,4,2023.09.01,롯데마트 진주점,“별로에요”,“꼼꼼해요”,“재구매의사 없어요”
51,원 플러스 원 좋아요 다음에 또 구매할게요,5,2023.09.01,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
52,비비고 썰은김치 양은 작지만 맛은 있어요 김치 맛이 최고입니다,5,2023.08.31,롯데마트 동래점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
53,항상 이용하는 필수 양식이죠^^,5,2023.08.31,롯데마트 제타플렉스 잠실점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
54,늘 포기김치만 샀었는데 편하네요. 맛도 종아요.,5,2023.08.30,롯데마트 사상점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
55,잘 먹고있어요...,5,2023.08.29,롯데마트 전용센터,“평범해요”,“보통이에요”,“보통이에요”
56,자주구매해서 배송받고있어요,5,2023.08.29,롯데마트 강변점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
57,썰은 김치 안사는데 세일하길래 사보았음.,5,2023.08.29,롯데마트 송파점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
58,"1+1 이라서 사봤는데 양이 작아요
공장김치맛",5,2023.08.29,롯데마트 사하점,“평범해요”,“꼼꼼해요”,“재구매의사 없어요”
59,맛있네요 자주 애용하고 있습니다,5,2023.08.29,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
60,1+1 가성비 굿입니다,5,2023.08.26,롯데마트 서청주점,“맛있어요”,“보통이에요”,“재구매의사 있어요”
61,좋네요 좋네요 좋네요 좋네요 좋네요 좋네요,3,2023.08.25,롯데마트 시흥점,“평범해요”,“보통이에요”,“보통이에요”
62,자주 구매하게 되네요,5,2023.08.25,롯데마트 전용센터,“맛있어요”,“보통이에요”,“재구매의사 있어요”
63,신선한 김치 먹고싶어 구매하는데 시네요,2,2023.08.25,롯데마트 제타플렉스 잠실점,“평범해요”,“보통이에요”,“보통이에요”
64,애들이 좋아해서 재구매했어요~^^,5,2023.08.25,롯데마트 진해점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
65,애들이 맛있어해서 재구매했어요,5,2023.08.25,롯데마트 진해점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
66,고맙습니다. 잘 받았습니다..,5,2023.08.25,롯데마트 성정점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
67,CJ제일제당CJ 비비고 썰은 김치,5,2023.08.24,롯데마트 광교점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
68,배추가 비싸서 김치구매가 더 좋네요,5,2023.08.24,롯데마트 울산점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
69,"다른 집에 배송해놓고 배송기사는 나한테 찾아가라고 함. 뭐임? 호구임?
김치 시켜서 일부러 집에서 기다리고 있었는데 이 더운 날씨에… 상담원은 그 정도는 안쉬었을테니 찾아오면 되는거고 아니냐고 뭔 걱정이냐고 함. 상담원 맞음? 그래놓고 다른 집 앞에 배송했던 거 살짝 놓고 감.. 뭐하는 시츄에이션?",1,2023.08.22,롯데마트,“별로에요”,“별로예요”,“재구매의사 없어요”
70,비비고김치가 맛있어서 또 주문했어요 감칠맛나고 시원하네요,5,2023.08.20,롯데마트 제타플렉스 잠실점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
71,"비비고 김치 깔끔하고 맛있네요
사먹는 김치중에 개인적으로 잘 맞아요",5,2023.08.20,롯데마트 구미점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
72,김치가 1+1하길래 주문합니다 맛있어요,5,2023.08.18,롯데마트 제타플렉스 잠실점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
73,가성비 최고라 자주 구매해요,5,2023.08.18,롯데마트 강변점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
74,"종갓집꺼가 너무 짜서 비비고꺼 주문했는데, 훨씬 감칠맛나고 맛있어요. 딱 적당히 익어서 신맛 올라오는 김치라 볶아먹어도 맛있을 것 같아요!",5,2023.08.17,롯데마트 제타플렉스 잠실점,“맛있어요”,“보통이에요”,“재구매의사 있어요”
75,"배추김치가 썰어져 있는 제품이라서 먹기 편하고
맛도 좋아요. 추천합니다.",5,2023.08.17,롯데마트 사상점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
76,적당히 익은 김치 맛 있어요,5,2023.08.17,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
77,"1+1가격도 좋고 맛있어요
잘라져있어서 먹기도 편리해요",5,2023.08.16,롯데마트 광교점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
78,1+1으로 구매했는데 넘 익은게 와서 좀 아쉽네요!,3,2023.08.15,롯데마트 전용센터,“평범해요”,“보통이에요”,“보통이에요”
79,익숙한 맛 정가에 사기에는 그럼,5,2023.08.14,롯데마트 양덕점,“평범해요”,“보통이에요”,“보통이에요”
80,맛있어서 재구매해요. 여기가 저렴하기도 하구요.,5,2023.08.14,롯데마트 광교점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
81,원뿔원으로 구매잘하였습니다. 썰어진 상품이라 간편하고. 김치는 비비고가 제일맛있죠!,5,2023.08.14,롯데마트 제타플렉스 잠실점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
82,좋아요 좋아요 좋아요,5,2023.08.13,롯데마트 충주점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
83,맛김치가 아주 맛있어요 맵지않아요,5,2023.08.13,롯데마트 강변점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
84,윈플원으로 잘 샀어요,5,2023.08.12,롯데마트 덕소점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
85,좋아요 좋아요 좋아요,5,2023.08.12,롯데마트 중계점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
86,저렴하게 구매합니다,5,2023.08.11,롯데마트 중계점,“평범해요”,“보통이에요”,“보통이에요”
87,어정쩡한 인터넷 김치보단 시원하고 라이트하고 맛있음,5,2023.08.10,롯데마트 마석점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
88,"노약자가 먹기엔 무난하나 너무 잘게 짤려져 있어
일반 성인에겐 식감 떨어질수도
일반 배추김치 사다가 적당한 크기로 잘라 먹는게 좋을듯",3,2023.08.10,롯데마트 전용센터,“평범해요”,“꼼꼼해요”,“재구매의사 없어요”
89,좋습니다 추천합니다,5,2023.08.10,롯데마트 화명점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
90,잘받았습니다.맛있네요~^^,5,2023.08.09,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
91,간편하게 먹기 좋아요,4,2023.08.09,롯데마트 부산점,“평범해요”,“보통이에요”,“보통이에요”
92,맛도 좋고 가격도 좋아요,5,2023.08.09,롯데마트 의왕점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
93,맛있어요. 가격에 비하면 좀 비싸네요,4,2023.08.09,롯데마트 전용센터,“맛있어요”,“보통이에요”,“보통이에요”
94,김치는 비비고에요 전 나이가 들고 혼자살아서 김치를 구매하는데 제일 제 입맛에 맞고 맛있네요,5,2023.08.09,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
95,가성비 삽~맛있어요,5,2023.08.08,롯데마트 전용센터,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
96,잘받았어요 1+1 이라 좋아요,4,2023.08.08,롯데마트 서산점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
97,1+1 저렴히 잘 구매했습니다,5,2023.08.08,롯데마트 안산점,“맛있어요”,“꼼꼼해요”,“재구매의사 있어요”
98,1+1으로 세일때 사서 가성비 맛 다 좋은거 같응,5,2023.08.07,롯데마트 전용센터,“맛있어요”,“별로예요”,“보통이에요”
99,저렴하게 구입했어요,4,2023.08.07,롯데마트 동래점,“평범해요”,“보통이에요”,“보통이에요”
